Date,Open,High,Low,Close
11/22/2022,"4.01614%","4.01614%","4.01614%","4.01614%"
11/21/2022,"3.97900%","3.97900%","3.97900%","3.97900%"
11/18/2022,"3.95671%","3.95671%","3.95671%","3.95671%"
11/17/2022,"3.93857%","3.93857%","3.93857%","3.93857%"
11/16/2022,"3.91071%","3.91071%","3.91071%","3.91071%"
11/15/2022,"3.90357%","3.90357%","3.90357%","3.90357%"
11/14/2022,"3.88657%","3.88657%","3.88657%","3.88657%"
11/11/2022,"3.87529%","3.87529%","3.87529%","3.87529%"
11/10/2022,"3.87314%","3.87314%","3.87314%","3.87314%"
11/09/2022,"3.87857%","3.87857%","3.87857%","3.87857%"
11/08/2022,"3.85871%","3.85871%","3.85871%","3.85871%"
11/07/2022,"3.85514%","3.85514%","3.85514%","3.85514%"
11/04/2022,"3.85814%","3.85814%","3.85814%","3.85814%"
11/03/2022,"3.84657%","3.84657%","3.84657%","3.84657%"
11/02/2022,"3.83571%","3.83571%","3.83571%","3.83571%"
11/01/2022,"3.84157%","3.84157%","3.84157%","3.84157%"
10/31/2022,"3.80486%","3.80486%","3.80486%","3.80486%"
10/28/2022,"3.76771%","3.76771%","3.76771%","3.76771%"
10/27/2022,"3.75386%","3.75386%","3.75386%","3.75386%"
10/26/2022,"3.63229%","3.63229%","3.63229%","3.63229%"
10/25/2022,"3.59643%","3.59643%","3.59643%","3.59643%"
10/24/2022,"3.57643%","3.57643%","3.57643%","3.57643%"
10/21/2022,"3.58557%","3.58557%","3.58557%","3.58557%"
10/20/2022,"3.57243%","3.57243%","3.57243%","3.57243%"
10/19/2022,"3.50071%","3.50071%","3.50071%","3.50071%"
10/18/2022,"3.48914%","3.48914%","3.48914%","3.48914%"
10/17/2022,"3.47986%","3.47986%","3.47986%","3.47986%"
10/14/2022,"3.44300%","3.44300%","3.44300%","3.44300%"
10/13/2022,"3.41214%","3.41214%","3.41214%","3.41214%"
10/12/2022,"3.33871%","3.33871%","3.33871%","3.33871%"
10/11/2022,"3.34557%","3.34557%","3.34557%","3.34557%"
10/10/2022,"3.31671%","3.31671%","3.31671%","3.31671%"
10/07/2022,"3.31357%","3.31357%","3.31357%","3.31357%"
10/06/2022,"3.30029%","3.30029%","3.30029%","3.30029%"
10/05/2022,"3.19814%","3.19814%","3.19814%","3.19814%"
10/04/2022,"3.18571%","3.18571%","3.18571%","3.18571%"
10/03/2022,"3.17443%","3.17443%","3.17443%","3.17443%"
09/30/2022,"3.14271%","3.14271%","3.14271%","3.14271%"
09/29/2022,"3.12786%","3.12786%","3.12786%","3.12786%"
09/28/2022,"3.11529%","3.11529%","3.11529%","3.11529%"
09/27/2022,"3.12057%","3.12057%","3.12057%","3.12057%"
09/26/2022,"3.11314%","3.11314%","3.11314%","3.11314%"
09/23/2022,"3.08029%","3.08029%","3.08029%","3.08029%"
09/22/2022,"3.08400%","3.08400%","3.08400%","3.08400%"
09/21/2022,"3.05900%","3.05900%","3.05900%","3.05900%"
09/20/2022,"3.05186%","3.05186%","3.05186%","3.05186%"
09/16/2022,"3.01386%","3.01386%","3.01386%","3.01386%"
09/15/2022,"2.99343%","2.99343%","2.99343%","2.99343%"
09/14/2022,"2.93914%","2.93914%","2.93914%","2.93914%"
09/13/2022,"2.81771%","2.81771%","2.81771%","2.81771%"
09/12/2022,"2.78343%","2.78343%","2.78343%","2.78343%"
09/09/2022,"2.77314%","2.77314%","2.77314%","2.77314%"
09/08/2022,"2.75643%","2.75643%","2.75643%","2.75643%"
09/07/2022,"2.70457%","2.70457%","2.70457%","2.70457%"
